"Film","Year","Script.Type","Rotten.Tomatoes..critics","Metacritic..critics","Average.critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Rotten.Tomatoes.vs.Metacritic..deviance","Average.audience","Audience.vs.Critics.deviance","Primary.Genre","Genre","Opening.Weekend","Opening.weekend...million.","Domestic.Gross","Domestic.gross...million.","Foreign.Gross...million.","Foreign.Gross","Worldwide.Gross","Worldwide.Gross...million.","of.Gross.earned.abroad","Budget...million.","Budget.recovered","Budget.recovered.opening.weekend","Oscar.Winners","Oscar.Detail","Link","None","Distributor","IMDb.Rating","IMDB.vs.RT.disparity","Release.Date..US.","financial.source..if.not.The.numbers"
"The Good Dinosaur",2016,"original screenplay","77","66","71.5",66,"70","-4","68","4",NA,"Adventure","39155217","39.16","8320188",8.32,"209.12","209120551","217440739","217.44","96.17%","200","109%","19.58%","","","https://www.amazon.com/Good-Dinosaur-Theatrical-Peter-Sohn/dp/B018YO6WAA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218093&sr=1-1&keywords=The+Good+Dinosaur",NA,NA,NA,NA,"Nov 25, 2015",NA
"Central Intelligence",2016,"original screenplay","70","52","61",64,"66","-2","65","-4",NA,"Comedy","35535250","35.54","127440871",127.44,"89.53","89531672","216972543","216.97","41.26%","50","434%","71.07%","","","https://www.amazon.com/Central-intelligence-Dwayne-Johnson/dp/B01H640LV0/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219429&sr=1-1&keywords=Central+Intelligence",NA,NA,NA,NA,"Jun 17, 2016",NA
"Inferno",2016,"adaptation","20","42","31",41,"56","-15","48.5","-18",NA,"thriller","14860425","14.86","31847432",31.85,"178.58","178581184","210428616","210.43","84.87%","75","281%","19.81%","","","https://www.amazon.com/Inferno-Tom-Hanks/dp/B01MFBQ0A6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218865&sr=1-1&keywords=Inferno",NA,NA,NA,NA,"Oct 28, 2016",NA
"Me Before You",2016,"adaptation","58","51","54.5",73,"66","7","69.5","-15",NA,"Drama","18723269","18.72","56245075",56.25,"151.6","151600000","207845075","207.85","72.94%","20","1039%","93.62%","","","https://www.amazon.com/Me-Before-You-Emilia-Clarke/dp/B01GIIVF6K/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219091&sr=1-1&keywords=Me+Before+You",NA,NA,NA,NA,"Jun 3, 2016",NA
"London Has Fallen",2016,"sequel","26","28","27",53,"51","2","52","-25",NA,"Action","21635601","21.64","62524260",62.52,"133.2","133201324","195725584","195.73","68.06%","60","326%","36.06%","","","https://www.amazon.com/London-Has-Fallen-Gerard-Butler/dp/B01CIPPE28/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219140&sr=1-1&keywords=London+Has+Fallen",NA,NA,NA,NA,"Mar 4, 2016",NA
"Sully",2016,"based on a true story","85","74","79.5",87,"78","9","82.5","-3",NA,"Drama","35028301","35.03","123852703",123.85,"63.4","63400000","187252703","187.25","33.86%","60","312%","58.38%","","","https://www.amazon.com/Sully-Tom-Hanks/dp/B01LW32XQV/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219408&sr=1-1&keywords=Sully",NA,NA,NA,NA,"Sep 9, 2016",NA
"Bridget Jones’s Baby",2016,"sequel","77","59","68",75,"72","3","73.5","-6",NA,"romance, comedy","8571785","8.57","24139805",24.14,"160.02","160015368","184155173","184.16","86.89%","35","526%","24.49%","","","https://www.amazon.com/Bridget-Joness-Baby-RenC3A9e-Zellweger/dp/B01N0ICNMH/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218670&sr=1-1&keywords=Bridget+JonesE28099s+Baby",NA,NA,NA,NA,"Sep 16, 2016",NA
"Bad Moms",2016,"original screenplay","59","60","59.5",67,"50","17","58.5","1",NA,"Comedy","23817340","23.82","113257297",113.26,"66.1","66100000","179357297","179.36","36.85%","20","897%","119.09%","","","https://www.amazon.com/Bad-Moms-Mila-Kunis/dp/B01J2KCK6A/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219400&sr=1-1&keywords=Bad+Moms",NA,NA,NA,NA,"Jul 29, 2016",NA
"The Divergent Series: Allegiant",2016,"adaptation","12","33","22.5",42,"39","3","40.5","-18",NA,"Action","29027348","29.03","66184051",66.18,"113.06","113062817","179246868","179.25","63.08%","110","163%","26.39%","","","https://www.amazon.com/Divergent-Allegiant-Shailene-Woodley/dp/B01D0SVUFC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219181&sr=1-1&keywords=The+Divergent+Series3A+Allegiant",NA,NA,NA,NA,"Mar 18, 2016",NA
"The BFG",2016,"adaptation","75","66","70.5",60,"62","-2","61","10",NA,"Adventure","18775350","18.78","55483770",55.48,"122.44","122435394","177919164","177.92","68.82%","140","127%","13.41%","","","https://www.amazon.com/BFG-Theatrical-Version-Mark-Rylance/dp/B01HQUWXVU/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219084&sr=1-1&keywords=The+BFG",NA,NA,NA,NA,"Jul 1, 2016",NA
"Storks",2016,"original screenplay","63","56","59.5",68,"61","7","64.5","-5",NA,"Adventure","21311407","21.31","70775890",70.78,"104.5","104500000","175275890","175.28","59.62%","70","250%","30.44%","","","https://www.amazon.com/Storks-Nicholas-Stoller/dp/B01M0W2TH5/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219212&sr=1-1&keywords=Storks",NA,NA,NA,NA,"Sep 23, 2016",NA
"The Huntsman: Winter’s War",2016,"sequel","17","35","26",47,"51","-4","49","-23",NA,"Action","19445035","19.45","48003015",48,"116.6","116599148","164602163","164.6","70.84%","115","143%","16.91%","","","https://www.amazon.com/Huntsman-Winters-War-Chris-Hemsworth/dp/B01E7RPWKO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219024&sr=1-1&keywords=The+Huntsman3A+WinterE28099s+War",NA,NA,NA,NA,"Apr 22, 2016",NA
"The Girl on the Train",2016,"adaptation","44","48","46",54,"61","-7","57.5","-12",NA,"thriller","24536265","24.54","73466229",73.47,"89.79","89794593","163260822","163.26","55.00%","45","363%","54.53%","","","https://www.amazon.com/Girl-Train-Emily-Blunt/dp/B01M7V9R51/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219228&sr=1-1&keywords=The+Girl+on+the+Train",NA,NA,NA,NA,"Oct 7, 2016",NA
"The Magnificent Seven",2016,"remake / reboot","63","54","58.5",77,"63","14","70","-12",NA,"western","34703397","34.7","92630454",92.63,"67.76","67755643","160386097","160.39","42.25%","90","178%","38.56%","","","https://www.amazon.com/Magnificent-Seven-Haley-Bennett/dp/B01LR7T2BW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219314&sr=1-1&keywords=The+Magnificent+Seven",NA,NA,NA,NA,"Sep 23, 2016",NA
"Don’t Breathe",2016,"original screenplay","87","71","79",81,"73","8","77","2",NA,"Horror","26411706","26.41","89049804",89.05,"63.65","63647435","152697239","152.7","41.68%","9.9","1542%","266.78%","","","https://www.amazon.com/Dont-Breathe-Jane-Levy/dp/B01KZSCT14/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219295&sr=1-1&keywords=DonE28099t+Breathe",NA,NA,NA,NA,"Aug 26, 2016",NA
"Trolls",2016,"original screenplay","75","56","65.5",73,"73","73","73","-8",NA,"Adventure","46581142","47","151287892",151.29,"185.47","185465084","151288077","151.29","0.00%","125","121%","37.26%","","","https://www.amazon.com/Trolls-Anna-Kendrick/dp/B01M8GGPIT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219323&sr=1-1&keywords=Trolls",NA,NA,NA,NA,"Nov 4, 2016",NA
"Gods of Egypt",2016,"original screenplay","16","25","20.5",38,"45","-7","41.5","-21",NA,"Adventure","14123903","14.12","31153464",31.15,"119.53","119527400","150680864","150.68","79.32%","140","108%","10.09%","","","https://www.amazon.com/Gods-Egypt-Nikolaj-Coster-Waldau/dp/B01BZHA6WI/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218857&sr=1-1&keywords=Gods+of+Egypt",NA,NA,NA,NA,"Feb 26, 2016",NA
"Lights Out",2016,"original screenplay","77","58","67.5",64,"69","-5","66.5","1",NA,"Horror","21688103","21.69","67268835",67.27,"81.5","81500000","148768835","148.77","54.78%","4.9","3036%","442.61%","","","https://www.amazon.com/Lights-Out-Teresa-Palmer/dp/B01IURHTBC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219191&sr=1-1&keywords=Lights+Out",NA,NA,NA,NA,"Jul 22, 2016",NA
"Hacksaw Ridge",2016,"based on a true story","87","71","79",95,"86","9","90.5","-12",NA,"Drama","15190758","15.19","64944345",64.94,"78.36","78360000","143304345","143.3","54.68%","40","358%","37.98%","","","https://www.amazon.com/Hacksaw-Ridge-Andrew-Garfield/dp/B01MCXX4K5/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218880&sr=1-1&keywords=Hacksaw+Ridge",NA,NA,NA,NA,"Nov 4, 2016",NA
"Pete’s Dragon",2016,"remake / reboot","86","71","78.5",78,"67","11","72.5","6",NA,"Adventure","21514095","21.51","75799398",75.8,"65.84","65843814","141643212","141.64","46.49%","65","218%","33.10%","","","https://www.amazon.com/Dragon-Theatrical-Version-Dallas-Howard/dp/B01K56E022/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219237&sr=1-1&keywords=PeteE28099s+Dragon",NA,NA,NA,NA,"Aug 12, 2016",NA
"Sausage Party",2016,"original screenplay","83","66","74.5",54,"57","-3","55.5","19",NA,"Comedy","34263534","34.26","97670358",97.67,"42.04","42039468","139709826","139.71","30.09%","19","735%","180.33%","","","https://www.amazon.com/Sausage-Party-Seth-Rogen/dp/B01JBAXH7M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219335&sr=1-1&keywords=Sausage+Party",NA,NA,NA,NA,"Aug 12, 2016",NA
"Jack Reacher: Never Go Back",2016,"sequel","38","47","42.5",49,"55","-6","52","-10",NA,"Action","22872490","22.87","54826162",54.83,"81.65","81653924","136480086","136.48","59.83%","60","227%","38.12%","","","https://www.amazon.com/Jack-Reacher-Never-Go-Back/dp/B01LYQ4RH6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219053&sr=1-1&keywords=Jack+Reacher3A+Never+Go+Back",NA,NA,NA,NA,"Oct 21, 2016",NA
"The Accountant",2016,"original screenplay","51","51","51",82,"76","6","79","-28",NA,"thriller","24710273","24.71","77931035",77.93,"57.7","57700000","135631035","135.63","42.54%","44","308%","56.16%","","","https://www.amazon.com/Accountant-Ben-Affleck/dp/B01MDMGUMY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219254&sr=1-1&keywords=The+Accountant",NA,NA,NA,NA,"Oct 14, 2016",NA
"Passengers",2016,"original screenplay","33","42","37.5",68,"41","27","54.5","-17",NA,"sci-fi","14869736","14.87","68764116",69,"56.76","56759938","125524054","125.52","45.22%","110","114%","13.52%","","","https://www.amazon.com/Passengers-Jennifer-Lawrence/dp/B01N2TC6OJ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640844&sr=1-1&keywords=Passengers",NA,NA,NA,NA,"Dec 21, 2016",NA
"Mechanic: Resurrection",2016,"sequel","26","38","32",42,"53","-11","47.5","-16",NA,"Action","7456525","7.46","21218403",21.22,"103.99","103990354","125208757","125.21","83.05%","40","313%","18.64%","","","https://www.amazon.com/Mechanic-Resurrection-Jason-Statham/dp/B01KH25L68/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218625&sr=1-1&keywords=Mechanic3A+Resurrection",NA,NA,NA,NA,"Aug 26, 2016",NA
"Ride Along 2",2016,"sequel","14","32","23",49,"46","3","47.5","-25",NA,"Comedy","35243095","35.24","90862685",90.86,"33.38","33383467","124246152","124.25","26.87%","40","311%","88.11%","","","https://www.amazon.com/Ride-Along-2-Ice-Cube/dp/B01AMUTBJI/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219303&sr=1-1&keywords=Ride+Along+2",NA,NA,NA,NA,"Jan 15, 2016",NA
"The Shallows",2016,"original screenplay","78","59","68.5",60,"65","-5","62.5","6",NA,"Drama","16800868","16.8","55121623",55.12,"63.98","63976715","119098338","119.1","53.72%","17","701%","98.83%","","","https://www.amazon.com/Shallows-Blake-Lively/dp/B01HBVH634/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219063&sr=1-1&keywords=The+Shallows",NA,NA,NA,NA,"Jun 24, 2016",NA
"The Purge: Election Year",2016,"sequel","54","55","54.5",50,"61","-11","55.5","-1",NA,"Horror","31515110","31.52","79042440",79.04,"39.37","39374505","118416945","118.42","33.25%","10","1184%","315.15%","","","https://www.amazon.com/Purge-Election-Year-Frank-Grillo/dp/B01ICD5114/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219262&sr=1-1&keywords=The+Purge3A+Election+Year",NA,NA,NA,NA,"Jul 1, 2016",NA
"Deepwater Horizon",2016,"based on a true story","84","68","76",86,"75","11","80.5","-5",NA,"Drama","20223544","20.22","60608245",60.61,"52.25","52245472","112853717","112.85","46.29%","110","103%","18.39%","","","https://www.amazon.com/Deepwater-Horizon-Mark-Wahlberg/dp/B01LXO0XSB/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219115&sr=1-1&keywords=Deepwater+Horizon",NA,NA,NA,NA,"Sep 30, 2016",NA
"How to be Single",2016,"adaptation","48","51","49.5",48,"58","-10","53","-4",NA,"romance, comedy","17878911","17.88","46843513",46.84,"65.5","65500000","112343513","112.34","58.30%","38","296%","47.05%","","","https://www.amazon.com/How-Be-Single-Dakota-Johnson/dp/B01BN5A8L6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218998&sr=1-1&keywords=How+to+be+Single",NA,NA,NA,NA,"Feb 12, 2016",NA
"The 5th Wave",2016,"adaptation","16","33","24.5",39,"55","-16","47","-23",NA,"Action","10326356","10.33","34912982",34.91,"74.99","74989585","109902567","109.9","68.23%","38","289%","27.17%","","","https://www.amazon.com/5th-Wave-ChloC3AB-Grace-Moretz/dp/B01AMUTB8Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218898&sr=1-1&keywords=The+5th+Wave",NA,NA,NA,NA,"Jan 22, 2016",NA
"10 Cloverfield Lane",2016,"sequel","90","76","83",79,"77","2","78","5",NA,"thriller","24727437","24.73","72082999",72.08,"36.2","36203423","108286422","108.29","33.43%","15","722%","164.85%","","","https://www.amazon.com/10-Cloverfield-Lane-John-Goodman/dp/B01CUVUTSO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219221&sr=1-1&keywords=10+Cloverfield+Lane",NA,NA,NA,NA,"Mar 11, 2016",NA
"Neighbors 2: Sorority Rising",2016,"sequel","62","58","60",47,"55","-8","51","9",NA,"Comedy","21760405","21.76","55340730",55.34,"52.55","52551344","107892074","107.89","48.71%","35","308%","62.17%","","","https://www.amazon.com/Neighbors-Sorority-Rising-Seth-Rogen/dp/B01FV4PH2U/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219075&sr=1-1&keywords=Neighbors+23A+Sorority+Rising",NA,NA,NA,NA,"May 20, 2016",NA
"The Big Short",2016,"based on a true story","88","81","84.5",88,"82","6","85","-1",NA,"Drama","10531026","10.53","37204389",37.2,"63.09","63086636","100291025","100.29","62.90%","28","358%","37.61%","Oscar Winner","Writing (adapted screenplay)","https://www.amazon.com/Big-Short-Christian-Bale/dp/B019969US8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218942&sr=1-1&keywords=The+Big+Short",NA,NA,NA,NA,"Dec 23, 2015",NA
"Dirty Grandpa",2016,"original screenplay","11","18","14.5",45,"39","6","42","-28",NA,"Comedy","11111875","11.11","35593113",35.59,"58.48","58479915","94073028","94.07","62.16%","11.5","818%","96.63%","","","https://www.amazon.com/Dirty-Grandpa-Unrated-Robert-DeNiro/dp/B01ATYMSLU/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218908&sr=1-1&keywords=Dirty+Grandpa",NA,NA,NA,NA,"Jan 22, 2016",NA
"Ben-Hur",2016,"adaptation","25","38","31.5",61,"45","16","53","-22",NA,"Drama","11203815","11.2","26410477",26.41,"67.65","67650834","94061311","94.06","71.92%","100","94%","11.20%","","","https://www.amazon.com/Ben-Hur-Jack-Huston/dp/B01K5BVHV4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218731&sr=1-1&keywords=Ben-Hur",NA,NA,NA,NA,"Aug 19, 2016",NA
"Money Monster",2016,"original screenplay","58","55","56.5",53,"66","-13","59.5","-3",NA,"thriller","14788157","14.79","41012075",41.01,"52.27","52270529","93282604","93.28","56.03%","27","345%","54.77%","","","https://www.amazon.com/Money-Monster-George-Clooney/dp/B01ESAOAP8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218958&sr=1-1&keywords=Money+Monster",NA,NA,NA,NA,"May 13, 2016",NA
"Office Christmas Party",2016,"original screenplay","41","42","41.5",46,"46","0","46","-5",NA,"Comedy","16890204","16.89","52607303",53,"36.93","36933408","89540711","89.54","41.25%","45","199%","37.53%","","","https://www.amazon.com/Office-Christmas-Party-Jason-Bateman/dp/B01N5CA7ES/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483641288&sr=1-1&keywords=office+christmas+party+movie",NA,NA,NA,NA,"Dec 9, 2016",NA
"My Big Fat Greek Wedding 2",2016,"sequel","29","37","33",55,"54","1","54.5","-22",NA,"Comedy","17861950","17.86","59689605",59.69,"29.23","29233646","88923251","88.92","32.88%","18","494%","99.23%","","","https://www.amazon.com/My-Big-Fat-Greek-Wedding/dp/B01DASBBQU/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219106&sr=1-1&keywords=My+Big+Fat+Greek+Wedding+2",NA,NA,NA,NA,"Mar 25, 2016",NA
"Assassin's Creed",2016,"adaptation","17","36","26.5",60,"69","-9","64.5","-38",NA,"Action","10278225","10.28","43883438",44,"44.9","44896328","88779766","88.78","50.57%","125","71%","8.22%","","","",NA,NA,NA,NA,"Dec 21, 2016",NA
"Allied",2016,"original screenplay","61","60","60.5",68,"63","5","65.5","-5",NA,"romance, thriller","12701743","12.7","39675535",40,"48.93","48927686","88603221","88.6","55.22%","85","104%","14.94%","","","https://www.amazon.com/Allied-Brad-Pitt/dp/B01N8STV3U/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640913&sr=1-1&keywords=allied",NA,NA,NA,NA,"Nov 23, 2016",NA
"War Dogs",2016,"adaptation","59","57","58",71,"71","0","71","-13",NA,"Comedy","14685305","14.69","43034523",43.03,"43.2","43200000","86234523","86.23","50.10%","40","216%","36.71%","","","https://www.amazon.com/War-Dogs-Jonah-Hill/dp/B01KGS9TR0/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218965&sr=1-1&keywords=War+Dogs",NA,NA,NA,NA,"Aug 19, 2016",NA
"Nerve",2016,"adaptation","65","58","61.5",69,"67","2","68","-7",NA,"thriller","9445456","9.45","38583626",38.58,"42.82","42822959","81406585","81.41","52.60%","20","407%","47.23%","","","https://www.amazon.com/Nerve-Emma-Roberts/dp/B01J2IXCVO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218950&sr=1-1&keywords=Nerve",NA,NA,NA,NA,"Jul 27, 2016",NA
"Ouija: Origin of Evil",2016,"sequel","82","65","73.5",61,"74","-13","67.5","6",NA,"Horror","14065500","14.07","34336765",34.34,"44.59","44591598","78928363","78.93","56.50%","9","877%","156.28%","","","https://www.amazon.com/Ouija-Origin-Evil-Elizabeth-Reaser/dp/B01MAUT9TJ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218889&sr=1-1&keywords=Ouija3A+Origin+of+Evil",NA,NA,NA,NA,"Oct 21, 2016",NA
"The Boss",2016,"original screenplay","23","40","31.5",39,"44","-5","41.5","-10",NA,"Comedy","23586645","23.59","63077560",63.08,"15.56","15558697","78636257","78.64","19.79%","29","271%","81.33%","","","https://www.amazon.com/Boss-Unrated-Melissa-McCarthy/dp/B01I0QNX8G/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219151&sr=1-1&keywords=The+Boss",NA,NA,NA,NA,"Apr 8, 2016",NA
"Mike and Dave Need Wedding Dates",2016,"original screenplay","36","51","43.5",56,"61","-5","58.5","-15",NA,"Comedy","16628170","16.63","46009673",46.01,"31.06","31058573","77068246","77.07","40.30%","33","234%","50.39%","","","https://www.amazon.com/Mike-Dave-Need-Wedding-Dates/dp/B01I2D6Y4M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218974&sr=1-1&keywords=Mike+and+Dave+Need+Wedding+Dates",NA,NA,NA,NA,"Jul 8, 2016",NA
"Miracles from Heaven",2016,"based on a true story","44","44","44",82,"59","23","70.5","-27",NA,"Drama","14178326","14.18","61705123",61.71,"12.18","12178236","73883359","73.88","16.48%","13","568%","109.06%","","","https://www.amazon.com/Miracles-Heaven-Jennifer-Garner/dp/B01CYXZCG2/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219122&sr=1-1&keywords=Miracles+from+Heaven",NA,NA,NA,NA,"Mar 16, 2016",NA
"Tyler Perry’s Boo! A Madea Halloween",2016,"original screenplay","22","30","26",59,"50","9","54.5","-29",NA,"Comedy","28501448","28.5","70537890",70.54,"1.34","1338205","71876095","71.88","1.86%","20","359%","142.51%","","","https://www.amazon.com/Boo-Madea-Halloween-Tyler-Perry/dp/B01M59JF0W/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219201&sr=1-1&keywords=Tyler+PerryE28099s+Boo21+A+Madea+Halloween",NA,NA,NA,NA,"Oct 21, 2016",NA
"13 Hours: The Secret Soldiers of Benghazi",2016,"based on a true story","50","48","49",83,"68","15","75.5","-27",NA,"Drama","16194738","16.19","52853219",52.85,"16.56","16558151","69411370","69.41","23.86%","50","139%","32.39%","","","https://www.amazon.com/13-Hours-Secret-Soldiers-Benghazi/dp/B01AIW6QKW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219033&sr=1-1&keywords=13+Hours3A+The+Secret+Soldiers+of+Benghazi",NA,NA,NA,NA,"Jan 15, 2016",NA
"Kubo & the Two Strings",2016,"original screenplay","97","84","90.5",87,"81","6","84","7",NA,"Adventure","12608372","12.61","47905443",47.91,"21.47","21471863","69377306","69.38","30.95%","60","116%","21.01%","","","https://www.amazon.com/Kubo-Two-Strings-Charlize-Theron/dp/B01K5BVK6Q/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219015&sr=1-1&keywords=Kubo+and+the+Two+Strings",NA,NA,NA,NA,"Aug 19, 2016",NA
"La La Land",2016,"original screenplay","92","93","92.5",89,"89","0","89","4",NA,"Musical","9242782","9.24","38922894",39,"27.8","27800000","66722894","66.72","41.66%","30","222%","30.81%","","","https://www.amazon.com/Land-Ryan-Gosling/dp/B01NCE7UIL/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483641276&sr=1-1&keywords=la+la+land",NA,NA,NA,NA,"Dec 9, 2016",NA
"The Boy",2016,"original screenplay","27","42","34.5",39,"67","-28","53","-19",NA,"Horror","10778392","10.78","35819556",35.82,"28.37","28368811","64188367","64.19","44.20%","10","642%","107.78%","","","https://www.amazon.com/Boy-Lauren-Cohan/dp/B01EGW8T3W/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218916&sr=1-1&keywords=The+Boy",NA,NA,NA,NA,"Jan 22, 2016",NA
